competition,comp_url,date,location,competition_subtype,competition_type,promoter
2025 MEXICO GRAND BATTLE PRO/AM,https://www.ifbbpro.com/competition/2025-mexico-grand-battle-pro-am/,Aug 16-17,"Monterrey, Mexico",OPEN,"[""Women's Bikini"", ""Men's Physique""]",M&M Promotions
2025 MEXICO PRO,,Jul 26-27,Mexico,OPEN,"[""Men's Classic Physique"", ""Women's Wellness""]",Gabriel Velasco
2025 MIAMI PRO,https://www.ifbbpro.com/competition/2025-miami-pro/,May 24,"Miami Beach, FL",OPEN + MASTERS 35/40/45/50/55/60,"[""Women's Bikini"", ""Women's Wellness"", ""Men's Physique""]",Geobanny Paula
2025 MILE HIGH PRO,https://www.ifbbpro.com/competition/2025-mile-high-pro/,Jun 7,"Denver, CO",OPEN + MASTERS 40,"[""Women's Bikini"", ""Men's Physique""]",Jeff Taylor
2025 MOSCOW PRO/AM SHOWDOWN,https://www.ifbbpro.com/competition/2025-moscow-pro-am-showdown/,Oct 25,"Moscow, Russia",OPEN,"[""Men's Classic Physique"", ""Women's Bikini""]",Oksana Grishina
2025 MR BIG EVOLUTION PORTUGAL PRO,https://www.ifbbpro.com/competition/2025-mr-big-evolution-portugal-pro/,Jul 6,"Estoril, Portugal",OPEN,"[""Men's Bodybuilding"", ""Women's Bikini"", ""Women's Wellness"", ""Women's Figure"", ""Women's Physique"", ""Men's 212 Bodybuilding"", ""Women's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",Mr. Big Evolution
2025 MUSCLECONTEST AUSTRIA PRO,,Dec 13,"Schwechat, Austria",OPEN,"[""Men's Classic Physique""]",Tamer El Guindy
2025 MUSCLECONTEST BRAZIL PRO,,Jul 18-20,"Curitiba, Brazil",OPEN,"[""Men's Classic Physique"", ""Women's Wellness"", ""Men's Physique"", ""Women's Figure""]",Tamer El Guindy
2025 MUSCLECONTEST BULLMAN PRO,https://www.ifbbpro.com/competition/2025-musclecontest-bullman-pro/,May 17,"Dublin, Ireland",OPEN,"[""Men's Classic Physique""]",Tamer El Guindy
2025 MUSCLECONTEST CAMPINAS PRO,https://www.ifbbpro.com/competition/2025-musclecontest-campinas/,Mar 15,"Campinas, Brazil",OPEN,"[""Women's Bikini""]",Tamer El Guindy
2025 MUSCLECONTEST EXPERIENCE PRO,,Aug 22-24,"Fortaleza, Brazil",OPEN,"[""Men's Classic Physique"", ""Men's Physique""]",Tamer El Guindy
2025 MUSCLECONTEST FITPIRA PRO,,Nov 8-9,"Piracicaba, Brazil",OPEN,"[""Men's Classic Physique"", ""Women's Bikini"", ""Men's Physique""]",Tamer El Guindy
2025 MUSCLECONTEST JAPAN PRO,https://www.ifbbpro.com/competition/2025-musclecontest-japan/,Feb 22,"Tokyo, Japan",OPEN,"[""Women's Bikini""]",Tamer El Guindy
2025 MUSCLECONTEST LUCIANO CRUZ JUIZ DE FORA PRO,,Nov 15,Brazil,OPEN,"[""Women's Physique"", ""Men's Physique""]",Tamer El Guindy
2025 MUSCLECONTEST NACIONAL PRO,,Dec 6,"Campinas, Brazil",,"[""Women's Wellness""]",Tamer El Guindy
2025 MUSCLECONTEST NORDESTE PRO,https://www.ifbbpro.com/competition/2025-musclecontest-nordeste/,Apr 12,"Recife, Brazil",OPEN,"[""Men's Physique""]",Tamer El Guincy
2025 MUSCLECONTEST PHILIPPINES PRO,,Oct 25,"Manila, Philippines",OPEN,"[""Men's Physique""]",Tamer El Guindy
2025 MUSCLECONTEST RIO PRO,,Sep 27,"Rio de Janeiro, Brazil",OPEN,"[""Men's Classic Physique""]",Tamer El Guindy
2025 MUSCLECONTEST VIETNAM PRO,,Nov 1,"Ho Chi Minh City, Vietnam",,"[""Women's Wellness""]",Tamer El Guindy
2025 NEVADA STATE PRO,https://www.ifbbpro.com/competition/2025-nevada-state-championships/,Jun 14,"Las Vegas, NV",OPEN,"[""Women's Bikini""]",Tamer El Guindy
2025 NEW YORK PRO,https://www.ifbbpro.com/competition/2025-new-york-pro/,May 17,"Teaneck, NJ",OPEN,"[""Men's Bodybuilding"", ""Women's Bikini"", ""Women's Wellness"", ""Women's Figure"", ""Women's Physique"", ""Men's 212 Bodybuilding"", ""Women's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",Steve Weinberger
2025 NEW ZEALAND PRO,,Nov 2,"Palmerston, New Zealand",OPEN,"[""Women's Bikini""]",Moe Elmoussawi
2025 OKLAHOMA PRO,https://www.ifbbpro.com/competition/2025-oklahoma-classic-pro-am/,Jun 7,"Tulsa, OK",OPEN + MASTERS 35/40/45/50/60,"[""Men's Classic Physique""]",Eileen Calabrese
